2019-04-29 18:54:23 *NORMAL*     Started on Windows 10.0.0.17134 x64. Driver status: 0xC0000225
2019-04-29 18:55:49 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16736, mmap flags: 0x0, erasePE: 1, unlink: 1, thread hijack: 0, init routine: '', init arg: ''
2019-04-29 18:56:01 *CRITICAL*   Injecting image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'
2019-04-29 18:56:01 *ERROR*      Failed to inject image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'.
Error code 0xC0000001
2019-04-29 18:56:11 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13028, mmap flags: 0x0, erasePE: 1, unlink: 1, thread hijack: 0, init routine: '', init arg: ''
2019-04-29 18:56:23 *CRITICAL*   Injecting image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'
2019-04-29 18:56:23 *ERROR*      Failed to inject image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'.
Error code 0xC0000001
2019-04-29 19:47:33 *NORMAL*     Started on Windows 10.0.0.17134 x64. Driver status: 0xC0000225
2019-04-29 19:47:42 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 2396, mmap flags: 0x0, erasePE: 1, unlink: 1, thread hijack: 0, init routine: '', init arg: ''
2019-04-29 19:47:54 *CRITICAL*   Injecting image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'

2019-04-29 20:00:51 *NORMAL*     Started on Windows 10.0.0.17134 x64. Driver status: 0xC0000225
2019-04-29 20:01:00 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13832, mmap flags: 0x0, erasePE: 1, unlink: 1, thread hijack: 0, init routine: '', init arg: ''
2019-04-29 20:01:12 *CRITICAL*   Injecting image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'

2019-04-29 20:17:49 *NORMAL*     Started on Windows 10.0.0.17134 x64. Driver status: 0xC0000225
2019-04-29 20:17:51 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 18736, mmap flags: 0x0, erasePE: 1, unlink: 1, thread hijack: 0, init routine: '', init arg: ''
2019-04-29 20:18:03 *CRITICAL*   Injecting image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'

2019-04-29 20:49:00 *NORMAL*     Started on Windows 10.0.0.17134 x64. Driver status: 0xC0000225
2019-04-29 20:49:14 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12444, mmap flags: 0x0, erasePE: 1, unlink: 1, thread hijack: 0, init routine: '', init arg: ''
2019-04-29 20:49:26 *CRITICAL*   Injecting image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'
2019-04-29 20:49:26 *ERROR*      Failed to inject image 'C:\Users\skitn\Desktop\Print Menu v3.2\Print_Menu_3.2-EDITION_V.dll'.
Error code 0xC0000001
